cell_id,task,condition,run_idx,owner_model,owner_persona,construct_id,left_pole,right_pole,triad
B_N_run2,B,N,2,M3,neutral,C_M3_2,Attributes decline to organic growth and structural evolution,Attributes decline to a specific external disruptive event,"E1,E2,E5"
B_N_run2,B,N,2,M4,neutral,C_M4_1,Layoff-caused safety loss,Maturation-caused leadership gap,"E1,E2,E4"
B_N_run2,B,N,2,M4,neutral,C_M4_2,Downward trust spiral,Outgrown leadership model,"E1,E4,E5"
B_N_run2,B,N,2,M4,neutral,C_M4_3,Layoff-caused safety loss,Maturation-caused leadership gap,"E1,E2,E4"
B_N_run2,B,N,2,M5,neutral,C_M5_1,Event-triggered psychological safety collapse,Maturation-phase leadership capacity gap,"E3,E4,E5"
B_N_run2,B,N,2,M5,neutral,C_M5_2,Temporal-causal correlation analysis,Organizational development stage theory,"E1,E2,E5"
B_N_run2,B,N,2,M5,neutral,C_M5_3,Workforce reduction as primary causal agent,Scaling inflection as primary causal agent,"E1,E3,E5"
B_N_run3,B,N,3,M2,neutral,C_M2_1,Leadership style and operating-model mismatch,Layoff-triggered psychological safety loss,"E1,E2,E3"
B_N_run3,B,N,3,M2,neutral,C_M2_2,Leadership style and operating-model mismatch,Layoff-triggered psychological safety loss,"E1,E2,E3"
B_N_run3,B,N,3,M2,neutral,C_M2_3,Leadership style and operating-model mismatch,Layoff-triggered psychological safety loss,"E1,E2,E3"
B_N_run3,B,N,3,M4,neutral,C_M4_1,Diagnoses leadership style mismatch,Diagnoses loss of psychological safety,"E1,E2,E3"
B_N_run3,B,N,3,M4,neutral,C_M4_2,Provides detailed reasoning,States conclusion without reasoning,"E1,E2,E3"
B_N_run3,B,N,3,M4,neutral,C_M4_3,Uses hedging language,Uses definitive language,"E1,E2,E3"
B_N_run3,B,N,3,M5,neutral,C_M5_1,Structural-Developmental Diagnosis,Event-Trauma Diagnosis,"E1,E2,E3"
B_N_run3,B,N,3,M5,neutral,C_M5_2,Incomplete/Fragmented Reasoning,Complete/Elaborated Reasoning,"E1,E2,E3"
B_N_run3,B,N,3,M5,neutral,C_M5_3,Emphasis on Leadership Dynamics,Emphasis on Systemic Psychological Factors,"E1,E2,E3"
B_P_run1,B,P,1,M1,S,C_M1_1,Treats post-layoff timing as decisive evidence,Treats post-layoff timing as one signal among many,"E1,E4,E5"
B_P_run1,B,P,1,M1,S,C_M1_2,Grounds claim in temporal/sequential evidence,Grounds claim in mechanism of changed risk perception,"E1,E4,E5"
B_P_run1,B,P,1,M1,S,C_M1_3,Asserts diagnosis with confident finality,Reasons by eliminating alternative hypotheses,"E1,E2,E3"
B_P_run1,B,P,1,M2,E,C_M2_1,Mechanistic evidence and timing,Humanistic institutional-trauma framing,"E3,E4,E5"
B_P_run1,B,P,1,M2,E,C_M2_2,Differential diagnosis against alternatives,Single causal-chain assertion,"E3,E4,E5"
B_P_run1,B,P,1,M2,E,C_M2_3,Layoff as primary causal trigger,Pre-layoff decline undermines layoff causality,"E1,E2,E4"
B_P_run1,B,P,1,M3,H,C_M3_1,Reducing psychological safety to a mechanistic productivity constraint,Honoring psychological safety as a fundamental requirement for worker dignity,"E1,E3,E4"
B_P_run1,B,P,1,M3,H,C_M3_2,Relying on empirical timeline analysis to diagnose organizational health,Centering the moral and emotional impact on vulnerable stakeholders,"E1,E2,E3"
B_P_run1,B,P,1,M4,C,C_M4_1,Layoff as the pivotal causal event,Pre-existing decline independent of layoff,"E2,E4,E5"
B_P_run1,B,P,1,M4,C,C_M4_2,Diagnosis built on post-layoff trajectory,Diagnosis built on pre-layoff evidence,"E2,E4,E5"
B_P_run1,B,P,1,M4,C,C_M4_3,Human-centered trust and trauma lens,Timeline-centered empirical lens,"E2,E3,E4"
B_P_run1,B,P,1,M5,Q,C_M5_1,Treats layoff as sufficient cause of decline,Treats layoff timing as exonerating factor,"E1,E2,E5"
B_P_run1,B,P,1,M5,Q,C_M5_2,Evidence-as-timeline (chronological falsification),Evidence-as-trauma (affective institutional wounds),"E2,E3,E5"
B_P_run1,B,P,1,M5,Q,C_M5_3,Pattern recognition from temporal data,Normative framing of human impact,"E1,E3,E5"
B_P_run2,B,P,2,M1,S,C_M1_1,Reasoned systemic diagnosis with explicit causal mechanism,Asserted diagnosis without supporting analytical chain,"E1,E2,E3"
B_P_run2,B,P,2,M1,S,C_M1_2,Contrarian reframe rejecting consensus reading,Accepts timing/layoff as dominant signal,"E1,E2,E3"
B_P_run2,B,P,2,M1,S,C_M1_3,Treats symptoms as linguistic/behavioral evidence,Treats symptoms as structural-fit problem,"E1,E2,E3"
B_P_run2,B,P,2,M2,E,C_M2_1,Leadership-model root cause,Layoff-induced psychological safety loss,"E1,E2,E3"
B_P_run2,B,P,2,M2,E,C_M2_2,Mechanistic causal narrative,Bare diagnostic label,"E1,E2,E3"
B_P_run2,B,P,2,M2,E,C_M2_3,Contrarian diagnosis against burnout,Conventional post-layoff safety diagnosis,"E1,E2,E3"
B_P_run2,B,P,2,M4,C,C_M4_1,Internal leadership dynamics,External systemic shock,"E1,E2,E3"
B_P_run2,B,P,2,M4,C,C_M4_2,Internal leadership dynamics,External systemic shock,"E1,E2,E3"
B_P_run2,B,P,2,M4,C,C_M4_3,Internal leadership dynamics,External systemic shock,"E1,E2,E3"
B_P_run2,B,P,2,M5,Q,C_M5_1,Psychological Safety Collapse,Leadership Structure Mismatch,"E1,E2,E3"
B_P_run2,B,P,2,M5,Q,C_M5_2,Contrarian Counterfactual Reasoning,Evidence-Based Diagnostic Logic,"E1,E2,E3"
B_P_run2,B,P,2,M5,Q,C_M5_3,Stakeholder Impact Analysis,Causal Mechanism Focus,"E1,E2,E3"
B_P_run3,B,P,3,M1,S,C_M1_1,Argued diagnosis with explicit reasoning chain,Bare assertion without developed justification,"E1,E4,E5"
B_P_run3,B,P,3,M1,S,C_M1_2,Structural/organizational-fit explanation of dysfunction,Human/affective explanation centered on safety and ethics,"E1,E2,E4"
B_P_run3,B,P,3,M1,S,C_M1_3,Quantitative or framework-anchored analysis,Values-driven or unsupported narrative stance,"E1,E4,E5"
B_P_run3,B,P,3,M2,E,C_M2_1,Leadership-style mismatch as primary diagnosis,Post-layoff psychological safety as primary diagnosis,"E2,E3,E4"
B_P_run3,B,P,3,M2,E,C_M2_2,Complete explicit diagnosis with rationale,Truncated incomplete diagnostic fragment,"E2,E3,E5"
B_P_run3,B,P,3,M2,E,C_M2_3,Post-layoff psychological safety as primary diagnosis,Leadership-style mismatch as primary diagnosis,"E1,E2,E3"
B_P_run3,B,P,3,M4,C,C_M4_1,Causal attribution places layoff as primary trauma source,Causal attribution centers on shifting team process signals,"E1,E3,E5"
B_P_run3,B,P,3,M4,C,C_M4_2,Causal attribution places layoff as primary trauma source,Causal attribution centers on shifting team process signals,"E1,E3,E5"
B_P_run3,B,P,3,M4,C,C_M4_3,Diagnosis anchored in organizational scaling and leadership fit,Diagnosis anchored in team-level interaction patterns,"E2,E4,E5"
B_P_run3,B,P,3,M5,Q,C_M5_1,Qualitative Signal Interpretation,Explicit Probabilistic Quantification,"E3,E4,E5"
B_P_run3,B,P,3,M5,Q,C_M5_2,Descriptive Analytical Frameworks,Normative Ethical Framing,"E1,E3,E4"
B_P_run3,B,P,3,M5,Q,C_M5_3,Structural Organizational Analysis,Temporal Causal Dynamics,"E2,E3,E4"
C_N_run1,C,N,1,M1,neutral,C_M1_1,"Prioritizes AI capability and competitive performance (E1, E2)",Prioritizes trust and health data sensitivity (E4),"E1,E2,E4"
C_N_run1,C,N,1,M1,neutral,C_M1_2,"Frames choice around regulatory/consent legitimacy (E3, E4)",Frames choice around product capability necessity (E1),"E1,E3,E4"
C_N_run1,C,N,1,M1,neutral,C_M1_3,"Endorses opt-in training as balanced solution (E2, E3)",Rejects any training on health data (E4),"E2,E3,E4"
C_N_run1,C,N,1,M2,neutral,C_M2_1,Opt-in cloud training for full AI capability,No-training cloud inference for maximum trust,"E1,E3,E4"
C_N_run1,C,N,1,M2,neutral,C_M2_2,Recommends Option D opt-in training,Recommends Option B no training,"E1,E2,E4"
C_N_run1,C,N,1,M2,neutral,C_M2_3,Trust-preserving consent via opt-in training,Trust protection through,"E2,E3,E4"
C_N_run1,C,N,1,M4,neutral,C_M4_1,emphasizes regulatory risk and competitive capability trade-off,emphasizes foundational trust as the non-negotiable priority,"E1,E3,E4"
C_N_run1,C,N,1,M4,neutral,C_M4_2,concise recommendation without detailed rationale,detailed justification including trade-off analysis,"E2,E3,E4"
C_N_run1,C,N,1,M4,neutral,C_M4_3,highlights regulatory logic and phantom consent critique,frames recommendation in terms of user trust and competitive capability,"E1,E2,E3"
C_P_run1,C,P,1,M1,E,C_M1_1,Issues concrete recommendation with chosen option,Critiques framing without committing to option,"E2,E3,E5"
C_P_run1,C,P,1,M1,E,C_M1_2,Treats catastrophic downside as binding constraint,Optimizes expected value across tradeoffs,"E1,E2,E4"
C_P_run1,C,P,1,M1,E,C_M1_3,Reasons from user harm and ethical obligation,Reasons from market/regulatory incentive structure,"E2,E3,E4"
C_P_run1,C,P,1,M2,H,C_M2_1,Risk-managed cloud adoption,Critique of cloud-as-acceptable-risk,"E1,E3,E4"
C_P_run1,C,P,1,M2,H,C_M2_2,Structural critique of centralized cloud risk,Quantified trust-default optimization,"E3,E4,E5"
C_P_run1,C,P,1,M2,H,C_M2_3,Normative critique of capability-first assumptions,Quantified expected-value privacy calculus,"E2,E3,E4"
C_P_run1,C,P,1,M4,Q,C_M4_1,Trust risk actively mitigated,Trust risk accepted for capability,"E1,E3,E4"
C_P_run1,C,P,1,M4,Q,C_M4_2,Training on health data prohibited,Training on health data permitted,"E1,E3,E5"
C_P_run1,C,P,1,M4,Q,C_M4_3,Encrypted cloud processing,On-device local processing,"E1,E2,E5"
